Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017
Net deposits,1900000000,1900000000,1700000000,1700000000,1800000000,1900000000,1800000000,1700000000,1500000000,1500000000,1600000000,3500000000,4400000000,3000000000,1900000000,1500000000,1400000000,1300000000,1300000000,1200000000,1200000000,1300000000,1400000000,1500000000,1900000000,2000000000,2100000000,2200000000,2100000000,2100000000,2500000000,2700000000,2700000000,2900000000,2700000000,3000000000,3700000000,4400000000,4099999999,4099999999,4300000000,5100000000,5800000000,5000000000,5000000000,5300000000,3900000000,3900000000,5200000000,4500000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trading volume,28200000000,19200000000,26400000000,33600000000,25700000000,29700000000,26700000000,16399999999,14000000000,15500000000,13900000000,14200000000,15200000000,21300000000,34200000000,11100000000,12400000000,12200000000,9600000000,5800000000,4900000000,5400000000,5600000000,5900000000,9600000000,7700000000,5500000000,5300000000,3900000000,3500000000,7300000000,5200000000,5200000000,6500000000,6200000000,8600000000,16800000000,16000000000,14300000000,14600000000,20800000000,34500000000,50400000000,26600000000,21700000000,22500000000,14300000000,16399999999,51000000000,7300000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,17200000,27400000,44200000,60900000,30600000,30300000,23100000,17300000,13800000,13700000,11600000,15300000,18000000,20700000,40900000,10700000,12100000,13000000,10700000,6600000,5800000,7400000,9500000,8500000,17300000,13400000,13700000,13300000,9600000,8700000,18200000,12900000,13000000,16300000,15600000,21400000,42000000,39900000,35700000,36500000,52000000,86100000,125900000,66599999,54200000,56300000,35700000,40900000,127400000,18200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),11500000,18400000,28800000,38700000,20700000,20400000,15500000,11700000,9300000,9200000,7800000,10400000,12200000,14000000,27500000,7200000,8100000,8800000,7200000,4400000,3900000,5000000,6400000,5800000,11700000,9100000,9300000,9000000,6500000,5900000,12400000,8800000,8800000,11100000,10600000,14600000,28500000,27100000,24300000,24800000,35400000,58600000,85600000,45300000,36900000,38300000,24300000,27800000,86600000,12400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,5700000,8900000,15300000,22300000,10000000,9900000,7500000,5600000,4500000,4500000,3800000,5000000,5800000,6700000,13400000,3500000,3900000,4200000,3500000,2100000,1900000,2400000,3100000,2800000,5600000,4300000,4400000,4300000,3100000,2800000,5800000,4099999,4200000,5200000,5000000,6900000,13400000,12800000,11400000,11700000,16600000,27600000,40300000,21300000,17300000,18000000,11400000,13100000,40800000,5800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),922000,2100000,2500000,2300000,2800000,3700000,2500000,2200000,2200000,2100000,2400000,2900000,3300000,3800000,4900000,3100000,3400000,3200000,2700000,1800000,2800000,4200000,5300000,5900000,8900000,26100000,32700000,33000000,31800000,35100000,39200000,44000000,41400000,43600000,40400000,43800000,67500000,43800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),922000,2100000,2500000,2300000,2800000,3700000,2500000,2200000,2200000,2100000,2400000,2900000,3300000,3800000,4900000,3100000,3400000,3200000,2700000,1800000,2800000,4200000,5300000,5900000,8900000,26100000,32700000,33000000,31800000,35100000,39200000,44000000,41400000,43600000,40400000,43800000,67500000,43800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,4778000,6800000,12800000,20000000,7200000,6200000,5000000,3400000,2300000,2400000,1400000,2100000,2500000,2900000,8500000,400000,500000,1000000,800000,300000,-900000,-1800000,-2200000,-3100000,-3300000,-21800000,-28300000,-28700000,-28700000,-32300000,-33400000,-39900001,-37200000,-38400000,-35400000,-36900000,-54100000,-31000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,2.2,1.9,2.0,2.1,2.3,3.1,2.1,1.8,1.8,1.7,1.9,2.5,2.7,3.2,4.1,2.7,2.8,2.7,2.2,1.2,1.2,1.4,1.5,1.5,1.9,3.4,3.8,4.2,3.6,3.6,4.1,4.5,4.3,4.1,3.3,3.6,5.4,8.6,6.7,7.6,9.9,12.2,16.9,19.5,20.8,21.2,14.0,15.9,27.1,25.2,12.5,8.4,0.9,0.5,0.3,0.6,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,322600000,299600000,293300000,291800000,292100000,290100000,282100000,275600000,268900000,247700000,252200000,267300000,263200000,250800000,245000000,237600000,246800000,258899999,231700000,223600000,220400000,214100000,210800000,206700000,200600000,188300000,183500000,177200000,165100000,161200000,147500000,143900000,141200000,148500000,145100000,154000000,262800000,286500000,277000000,268100000,259200000,249900000,242200000,232500000,222500000,210300000,196700000,182400000,168200000,153700000,135500000,114200000,97100000,75900000,54900000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,828600000,713600000,769600000,807100000,884800000,1200000000,807000000,708000000,704400000,655100000,749000000,949100000,1100000000,1200000000,1600000000,1100000000,1100000000,1000000000,868000000,453500000,466600000,542800000,477500000,443400000,567400000,1000000000,1100000000,1200000000,1100000000,1100000000,1200000000,1300000000,1300000000,1200000000,976100000,1100000000,1400000000,2500000000,2000000000,2200000000,2900000000,3600000000,5000000000,5800000000,6200000000,6300000000,4200000000,4700000000,8000000000,7500000000,3700000000,2500000000,254200000,140100000,88400000,148700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,713300000,572100000,601000000,620000000,678000000,892500000,595700000,508700000,493400000,422800000,490000000,658400000,718800000,808400000,993300000,650900000,698900000,688200000,517200000,259700000,261399999,297200000,320200000,309900000,384400000,638200000,688400000,740900000,601700000,580000000,608400000,650900000,611800000,602300000,479400000,556000000,1400000000,2500000000,1900000000,2000000000,2600000000,3000000000,4099999999,4500000000,4600000000,4500000000,2800000000,2900000000,4500000000,3900000000,1700000000,972700000,85100000,36100000,16500000,19300000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token trading volume,1500000000,2600000000,6400000000,8199999999,2500000000,7400000000,5200000000,2000000000,1400000000,1600000000,1200000000,1700000000,1500000000,2600000000,5800000000,2400000000,2300000000,4600000000,5300000000,776000000,438900000,651200000,871100000,1100000000,1500000000,2400000000,1300000000,2000000000,1300000000,787900000,1600000000,1300000000,1700000000,1900000000,1800000000,2400000000,3800000000,6300000000,3900000000,2600000000,3800000000,14200000000,6700000000,7500000000,7700000000,8100000000,5200000000,8100000000,19400000000,25200000000,11400000000,7000000000,307000000,90500000,59800000,55500000,4700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (fully diluted),10.3,12.4,24.0,33.8,9.2,19.4,19.9,9.1,6.2,7.8,5.4,5.8,4.5,7.0,11.9,7.3,6.6,13.6,20.7,5.5,3.2,3.9,5.9,8.2,8.9,8.3,3.8,5.7,3.9,2.4,4.4,3.1,4.4,5.0,5.9,7.7,9.5,8.3,6.2,4.1,4.5,11.9,4.5,4.3,4.2,4.2,4.0,5.8,8.8,11.0,9.5,8.7,3.7,2.0,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (circulating),12.0,15.6,30.6,44.1,12.0,25.6,26.8,12.6,8.9,12.1,8.3,8.4,6.6,10.7,18.9,12.0,10.4,20.2,34.8,9.6,5.6,7.1,8.7,11.7,13.1,12.9,6.2,9.7,7.0,4.4,8.9,6.3,9.1,10.1,12.0,14.8,9.1,8.6,6.6,4.6,5.1,14.3,5.5,5.4,5.6,5.9,6.1,9.4,15.4,21.2,20.8,22.6,11.1,7.9,12.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token holders,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1700000,1700000,1700000,1700000,1600000,1600000,1600000,1600000,1600000,1500000,1500000,1500000,1500000,1400000,1400000,1400000,1400000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1200000,1200000,1200000,1200000,1200000,1100000,1100000,1100000,1000000,941000,773400,692900,598000,463400,392200,318500,205000,128400,71700,42100,30400,26800,19200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/F ratio (fully diluted),2.6,1.7,1.3,1.5,2.6,3.5,3.5,3.6,4.4,4.4,5.1,4.6,4.8,3.2,5.6,9.1,6.8,7.7,7.8,6.5,6.0,5.5,4.5,3.3,2.8,6.6,6.6,8.5,11.1,7.6,6.0,9.0,7.4,6.2,4.8,2.9,3.0,5.3,4.5,4.3,4.0,2.7,4.5,8.8,8.5,12.0,10.0,5.2,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/F ratio (circulating),2.2,1.4,1.0,1.1,2.0,2.6,2.6,2.6,3.1,2.9,3.3,3.2,3.3,2.1,3.5,5.6,4.4,5.1,4.7,3.7,3.3,3.0,3.0,2.3,1.9,4.2,4.1,5.1,6.2,4.2,3.0,4.4,3.5,3.1,2.3,1.5,3.0,5.1,4.3,3.9,3.5,2.3,3.6,6.9,6.4,8.5,6.7,3.2,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/S ratio (fully diluted),8.0,5.0,3.6,4.2,8.0,10.5,10.8,11.2,13.5,13.6,15.7,14.0,14.7,9.9,17.0,27.9,21.0,23.5,24.1,20.0,18.4,17.1,14.1,10.2,8.8,20.5,20.7,26.5,34.6,23.9,18.8,28.2,23.1,19.4,14.9,9.2,9.2,16.5,14.2,13.3,12.7,8.4,13.9,27.7,26.5,37.5,31.4,16.3,22.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/S ratio (circulating),6.8,4.0,2.8,3.2,6.1,8.0,7.9,8.0,9.4,8.8,10.2,9.7,10.0,6.5,10.7,17.1,13.4,15.7,14.3,11.5,10.3,9.3,9.4,7.1,5.9,13.0,12.8,15.8,19.3,13.0,9.3,13.7,11.0,9.8,7.3,4.8,9.4,16.0,13.3,12.1,11.1,7.1,11.3,21.7,19.9,26.6,20.8,10.1,12.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (daily),235700,187400,202000,189100,166100,185800,157200,159400,209000,212100,192900,186000,177400,211500,213900,155300,160600,171700,151900,130100,127300,130100,135100,143600,160700,136700,135800,148000,131400,137100,172300,155900,167700,181000,209000,234600,266500,292700,305700,364200,427400,504200,701700,520400,361700,305400,248700,260300,420200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (weekly),893100,804900,840900,776400,749200,819400,670600,661800,744000,695400,653200,720300,719000,881700,905700,641700,685300,690600,613600,542800,546900,574100,562500,596500,633400,550200,562000,591200,520299,591000,746100,625400,691200,760300,838500,895200,1000000,1200000,1200000,1400000,1700000,1900000,2500000,1800000,1400000,1000000,816000,892800,1400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (monthly),2400000,2500000,2500000,2300000,2300000,2300000,1900000,1900000,1900000,1600000,1800000,2000000,2200000,2600000,2300000,1900000,2000000,1900000,1700000,1600000,1600000,1700000,1700000,1700000,1700000,1500000,1500000,1500000,1400000,1800000,2000000,1700000,1900000,2100000,2200000,2400000,2800000,3000000,3100000,3600000,4099999,4800000,5200000,3600000,2900000,2100000,1900000,2600000,2500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Core developers,14.9,12.7,12.2,10.5,12.8,16.1,16.8,17.1,20.4,23.5,22.7,22.7,22.1,22.9,18.9,16.1,17.2,17.4,16.5,17.5,17.3,18.6,16.9,14.8,13.4,15.6,16.0,17.1,17.2,16.0,15.7,10.9,15.3,14.7,10.0,11.1,15.1,16.8,15.3,19.8,12.4,9.6,13.6,17.6,18.8,15.6,13.1,11.0,19.2,20.8,26.0,16.8,12.3,14.5,15.9,21.9,11.3,4.8,8.0,5.4,4.8,3.8,3.3,3.7,7.1,6.9,6.3,6.3,5.0,5.7,3.8,4.7,4.5,4.1,3.8,10.6,6.9,4.8,5.1,N/A,0.0,0.7,1.0,0.9,1.0,1.0,0.8,1.9,1.2,1.0,N/A
Code commits,50.0,101.0,91.0,57.0,59.0,119.0,136.0,203.0,269.0,317.0,243.0,303.0,235.0,306.0,380.0,241.0,248.0,270.0,249.0,238.0,320.0,329.0,246.0,330.0,260.0,394.0,250.0,279.0,212.0,356.0,257.0,282.0,228.0,275.0,182.0,124.0,236.0,269.0,285.0,173.0,192.0,173.0,166.0,201.0,406.0,287.0,244.0,283.0,377.0,363.0,430.0,305.0,300.0,181.0,332.0,362.0,215.0,134.0,91.0,200.0,256.0,76.0,64.0,140.0,104.0,101.0,60.0,80.0,23.0,35.0,46.0,42.0,44.0,23.0,14.0,42.0,136.0,81.0,60.0,N/A,N/A,0.0,1.0,2.0,4.0,5.0,11.0,1.0,32.0,3.0,N/A
