fond,lien_arkham,projet_sorti,date_de_sortie,preuve_blockchain
Dragonfly Capital,https://intel.arkm.com/explorer/entity/dragonfly-capital,TOR,2022-08-01,https://etherscan.io/tx/0x54568f5b63a93b8ac6058a6cae2c163eddb29ffcf31420b3fe2c43eeeb332015
Dragonfly Capital,https://intel.arkm.com/explorer/entity/dragonfly-capital,COMP,2021-08-01,https://etherscan.io/tx/0x006288a839b17c5aaeaaec8238f74be557230b46d26a126636da394e49e061da
Polychain Capital,https://intel.arkm.com/explorer/entity/polychain-capital,RBN,2023-03-01,https://etherscan.io/tx/0x62aa3b0599fdf21c00066c5a723d7a0b655a790cbfe4fc58a222dc121af623ae
Polychain Capital,https://intel.arkm.com/explorer/entity/polychain-capital,SKY,2020-12-01,https://etherscan.io/tx/0xf04a408ed8fedcd5d01ee171c1dbca6778be68fca15d90c58cde3230e457def1
Pantera Capital,https://intel.arkm.com/explorer/entity/pantera-capital,MATIC,2024-08-01,https://etherscan.io/tx/0xfd1f46863cd54a34760a2e657ec91a200097ec51659b2b5a5d70f0cf683ffbe3
Pantera Capital,https://intel.arkm.com/explorer/entity/pantera-capital,CRV,2023-07-01,https://etherscan.io/tx/0xfbe6e81dc0e8229d76d21fdd123c0c9cf4780d7790943a2b4fda97fb8e9e9760
Arrington XRP Capital,https://intel.arkm.com/explorer/entity/arrington-xrp-capital,QI,2021-08-01,https://snowtrace.io/tx/0x5e6eb0b9d5e3d29ac1cf3fee2a4b1c7953e7e1998335c9917433ba58adc79ff7
Arrington XRP Capital,https://intel.arkm.com/explorer/entity/arrington-xrp-capital,SNX,2021-10-01,https://etherscan.io/tx/0x856c9353b14b9636235f8e574fd17af8efb8d976bda50ad49db9154d6f09da6c
Arrington XRP Capital,https://intel.arkm.com/explorer/entity/arrington-xrp-capital,BAL,2021-10-01,https://etherscan.io/tx/0xe99db45b4740e9551239a0cbd039e672e8b1b34fa48fb311ec8695d4444d6245
Mechanism Capital,https://intel.arkm.com/explorer/entity/mechanism-capital,PERP,2022-01-01,https://etherscan.io/tx/0xc76c8d660c6804ae65f6ae949c926627679e8faf02533e09d4531945dd623c65
Mechanism Capital,https://intel.arkm.com/explorer/entity/mechanism-capital,BNT,2021-03-01,https://etherscan.io/tx/0x936e0346cb41e674eb798f569ab22dc04a7780b50be44fdbd496c8f88fe663f7
Mechanism Capital,https://intel.arkm.com/explorer/entity/mechanism-capital,YFI,2021-02-01,https://etherscan.io/tx/0xd1b5007bfcd6b361cf55799b980345cf9ca80de40ba5c66d9888334af3bf0fab
ParaFi Capital,https://intel.arkm.com/explorer/entity/parafi-capital,AAVE,2025-01-01,https://etherscan.io/tx/0x3b8cb9a525af420d5db922f86152cab1b2c91310db5f240c040a836a12fe8cd2
Lemniscap,https://intel.arkm.com/explorer/entity/lemniscap,AVAX,2024-10-01,https://snowtrace.io/tx/0x1deae6bdc6d039a8ccae08bf221c23cc9fc0b92c5d161cd5244bf0a120e8046e
HashKey Capital,https://intel.arkm.com/explorer/entity/hashkey-capital,ATOM,2023-03-01,https://bscscan.com/tx/0xc9ac193f99b7bbc9d3e7d74d78a57271e182c6d1bc0aa2baf33ee2d6c397be0c
FBG Capital,https://intel.arkm.com/explorer/entity/fbg-capital,SYRUP,2023-02-01,https://etherscan.io/tx/0x8b793f8c7ca3f57879a50a81956c35ed32f0c569f3f6dd09c7f4b3430f158257
FBG Capital,https://intel.arkm.com/explorer/entity/fbg-capital,CAKE,2021-08-01,https://bscscan.com/tx/0x03a8a11445488ad1d333bb41fecb92c17cf4c05809c75aa0dcd4cca667bd7624
DeFiance Capital,https://intel.arkm.com/explorer/entity/defiance-capital,CVX,2022-04-01,https://etherscan.io/tx/0xed6eb5a26a0e57e3682daa4894f02d2d2e5babd73442b4145aa748fe205b915d
Galaxy Digital,https://intel.arkm.com/explorer/entity/galaxy-digital,AXS,2024-12-01,https://etherscan.io/tx/0x8e34dd91505ac64707527e7e90a84dbd2a70d2c6a313ae857d04976770a7162f
Galaxy Digital,https://intel.arkm.com/explorer/entity/galaxy-digital,LDO,2024-12-01,https://etherscan.io/tx/0x6c960c457fdba686050783821fae6ed44ca322e57a3d3090291821eb2839d64f
Galaxy Digital,https://intel.arkm.com/explorer/entity/galaxy-digital,1INCH,2023-06-01,https://etherscan.io/tx/0x00a9602240e8683f6ed26d6bcc7528472cc69a5afb94baf8638d594190010a69
Galaxy Digital,https://intel.arkm.com/explorer/entity/galaxy-digital,SPELL,2022-01-01,https://etherscan.io/tx/0x552c225cbaa830b3b431df3a38b2171a92387bd6e8fb4d0eac6952e13ca78c09
Three Arrows Capital,https://intel.arkm.com/explorer/entity/three-arrows-capital,LINK,2021-11-01,https://etherscan.io/tx/0x065b813b3039755fae51e96222b3ea9170e2c86f38dc1950c9115478015a69f4
Three Arrows Capital,https://intel.arkm.com/explorer/entity/three-arrows-capital,GRT,2021-05-01,https://etherscan.io/tx/0xc5c409560b8c20a84481ca4f58c75ba94798c3ca61e2d1e0459d9e0bfb555f38
Arca,https://intel.arkm.com/explorer/entity/arca,RDNT,2024-04-01,https://arbiscan.io/tx/0xed01030aef45b0364c9d95671e4c1793b1c96bb32ff2d44becbc36fb99c0cf9b
Arca,https://intel.arkm.com/explorer/entity/arca,OP,2024-03-01,https://optimistic.etherscan.io/tx/0xa0b8263087435f3e6e4eea71a1957d1eb1e9cca94cf834957d5f112515977c5c
Arca,https://intel.arkm.com/explorer/entity/arca,LPT,2021-06-01,https://etherscan.io/tx/0xbc581f861ba24ccb85e124eb5176d485625942f5079591c4dc81dc072d2d460f
Jump Crypto,https://intel.arkm.com/explorer/entity/jump-trading,LFJ,2021-12-01,https://snowtrace.io/tx/0x2ce675d3496ca4a4b1b2cf92c27eb003ab7c321366210c4268f508b3476d91e0
Jump Crypto,https://intel.arkm.com/explorer/entity/jump-trading,KNC,2020-02-01,https://etherscan.io/tx/0x5c24a7d09e1536b634d7d4323aa4098b1de804a76cc925946309403921816079
Jump Crypto,https://intel.arkm.com/explorer/entity/jump-trading,DYDX,2024-07-01,https://etherscan.io/tx/0x1d40ec391acfb4c7cff865ac30a5e1393b176aab5fa1d4db64fe5d36ffeffb52
